track_id,seed_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake,Hits_ID
2649,226561,213|0|143|0|0,25,12,12,0,0,0,28.8057,29,0.993299,1.09793,-2.12608,3.08869,1,good,"[31804,38307,13505,13443,9660,108679,102754,99299,97250,93653,91198,87719,]"
2648,226546,353|0|37|0|0,27,15,15,0,0,0,31.1944,31,1.00627,1.48282,-0.928761,3.05644,1,good,"[32188,38493,54481,54743,65983,66116,109535,120408,128863,135416,172050,172055,179820,179824,179741,]"
2647,226397,133|0|1|0|0,24,11,11,0,0,0,23.4481,22,1.06582,1.23497,-1.54696,3.06639,1,good,"[31929,38330,54682,66047,109487,120373,101790,164286,164276,163410,163399,]"
2646,226380,632|0|23|0|0,27,15,15,0,0,0,36.5972,31,1.18055,1.72007,-0.172019,3.10066,1,good,"[32276,38515,54501,54748,66005,109572,109010,120268,128726,135227,135189,171605,171608,179403,179404,]"
2645,226330,312|0|30|0|0,25,13,13,0,0,0,27.6657,27,1.02466,1.19616,-0.3802,3.1121,1,good,"[31969,38437,54478,54739,65996,108977,120254,128720,135185,171593,171598,179327,179330,]"
2644,226186,499|0|22|0|0,25,12,12,0,0,0,18.3171,24,0.76321,3.79419,-1.57667,3.11022,1,good,"[32012,38397,54692,66051,109501,120381,104247,101785,164254,164270,163388,163396,]"
2643,226169,562|0|76|0|0,26,12,13,0,0,0,27.3883,26,1.05339,1.46445,-1.29114,2.93677,0.923077,good,"[32025,37929,54230,65701,108632,120044,119894,128520,135044,167554,167545,166742,166734,]"
2642,226122,144|0|32|0|0,28,16,16,0,0,0,19.897,33,0.602939,1.69947,0.802293,2.91553,1,good,"[30902,32112,37955,54278,65740,65879,108724,120130,119959,128664,135207,171659,171663,179698,179541,179544,]"
2641,226103,90|0|43|0|0,26,12,12,0,0,0,20.7064,29,0.714012,1.50787,-2.30307,3.11156,1,good,"[32088,38329,54598,13496,9708,102809,99332,95817,97331,93737,90164,87785,]"
2640,225983,322|0|18|0|0,27,13,13,0,0,0,17.1997,28,0.614276,1.4609,-2.11925,-3.13409,1,good,"[32179,38384,54613,13513,109294,102818,99309,100839,97313,94760,91201,158424,158408,]"
2639,225941,370|0|24|0|0,29,15,15,1,0,0,25.4003,31,0.819363,1.51351,-1.46397,2.95608,1,good,"[30758,31988,37849,54197,65647,108921,108610,120033,128559,128459,105033,165902,165893,164179,165148,]"
2638,225928,160|0|28|0|0,21,10,10,0,0,0,24.4093,22,1.10951,1.08837,-1.00701,3.1214,1,good,"[32121,38477,54735,66113,109533,120561,129036,135521,172119,172121,]"
2637,225883,586|0|70|0|0,25,12,12,0,0,0,34.4201,29,1.1869,1.54793,-2.20442,2.93407,1,good,"[30643,31885,37773,13475,9692,102786,99322,97322,93730,91208,87761,87780,]"
2636,225869,195|0|126|0|0,26,13,13,0,0,0,22.504,28,0.803715,1.04879,-1.3176,2.96789,1,good,"[30925,32129,37887,54214,65691,108933,108622,120040,119888,128517,167541,166737,166729,]"
2635,225854,488|0|23|0|0,30,17,17,1,0,0,25.6598,33,0.77757,1.86894,-0.791659,2.94005,1,good,"[31033,32223,37981,54247,54491,108983,120251,128790,128714,135326,135223,171686,171690,179707,179709,179549,179550,]"
2634,225826,189|0|39|0|0,26,14,14,0,0,0,20.7458,30,0.691526,1.06214,-0.229999,2.9347,1,good,"[30919,32126,37959,54261,54510,65874,108993,120262,128797,135383,171976,171979,179814,179815,]"
2633,225775,344|0|124|0|0,27,14,14,0,0,0,18.7622,30,0.625405,1.86547,-1.29143,2.97741,1,good,"[30987,32184,37904,54223,54456,65836,108940,120052,128610,135099,167559,167568,166747,166755,]"
2632,225751,565|0|52|0|0,27,14,14,0,0,0,30.4027,30,1.01342,2.02474,-1.23087,2.9792,1,good,"[31065,32256,37931,54231,54464,65839,108943,120053,128620,135102,167564,167573,166751,166759,]"
2631,225709,358|0|24|0|0,25,14,14,0,0,0,18.8221,32,0.588192,3.47352,-0.966635,2.97908,1,good,"[30994,32190,37907,54224,54457,65845,108957,120059,128707,128625,135176,135135,171487,171492,]"
2630,225682,136|0|62|0|0,26,14,14,0,0,0,16.3379,29,0.563374,1.10034,-0.765673,2.96236,1,good,"[30897,32105,37951,54470,65855,108968,120245,128866,128788,135371,171956,171960,179791,179794,]"
2629,225606,370|0|37|0|0,28,16,16,0,0,0,36.8358,31,1.18825,1.47501,-0.593161,2.99892,1,good,"[30999,32197,37911,54485,65847,108980,120077,128638,135141,135090,171456,171462,179317,179320,179230,179231,]"
2628,225603,289|0|33|0|0,29,14,14,0,0,0,17.4625,31,0.563307,2.12915,-1.99769,2.97626,1,good,"[30591,31825,37760,54340,13456,108701,102764,100836,97309,94759,91199,91216,158437,158448,]"
2627,225555,601|0|29|0|0,25,12,12,0,0,0,25.1646,30,0.838822,1.43738,-2.33042,2.97952,1,good,"[30648,31888,37775,13478,9694,6489,102789,99323,95813,93731,90158,87781,]"
2626,225456,606|0|34|0|0,25,12,12,0,0,0,22.7514,29,0.784531,1.14602,-2.26755,2.98908,1,good,"[30821,32044,37776,13479,9696,102791,99360,95856,97325,93733,90159,87782,]"
2625,225430,229|0|55|0|0,26,12,12,0,0,0,22.4719,26,0.864305,1.08862,-2.00982,3.02754,1,good,"[31807,37795,54339,13445,108697,102757,100788,97253,94723,91152,158356,158343,]"
